web_scraper_order,web_scraper_start_url,date,open,high,low,close_close_price_adjusted_for_splits,adj_close_adjusted_close_price_adjusted_for_splits_and_dividend_andor_capital_gain_distributions,volume
"1767779644-195","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 25, 2025","605.00","630.00","590.00","605.00","596.66","41,800"
"1767779644-196","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 24, 2025","600.00","620.00","595.00","615.00","606.52","20,600"
"1767779644-197","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 21, 2025","615.00","615.00","605.00","605.00","596.66","4,300"
"1767779644-198","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 20, 2025","610.00","620.00","605.00","620.00","611.46","3,000"
"1767779644-199","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 19, 2025","620.00","630.00","610.00","610.00","601.59","4,300"
"1767779644-200","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 18, 2025","605.00","635.00","605.00","605.00","596.66","16,400"
"1767779644-201","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 17, 2025","595.00","615.00","590.00","610.00","601.59","6,900"
"1767779644-202","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 14, 2025","600.00","615.00","600.00","600.00","591.73","5,400"
"1767779644-203","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 13, 2025","600.00","620.00","595.00","605.00","596.66","4,500"
"1767779644-204","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 12, 2025","600.00","615.00","585.00","595.00","586.80","17,700"
"1767779644-205","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 11, 2025","590.00","610.00","580.00","605.00","596.66","20,300"
"1767779644-206","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 10, 2025","580.00","630.00","580.00","595.00","586.80","46,600"
"1767779644-207","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 7, 2025","595.00","670.00","580.00","605.00","596.66","51,000"
"1767779644-208","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 6, 2025","595.00","610.00","595.00","600.00","591.73","1,600"
"1767779644-209","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 5, 2025","605.00","640.00","585.00","590.00","581.87","25,600"
"1767779644-210","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 4, 2025","590.00","640.00","590.00","615.00","606.52","22,300"
"1767779644-211","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 3, 2025","600.00","615.00","570.00","590.00","581.87","42,100"
"1767779644-212","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jan 31, 2025","590.00","630.00","590.00","605.00","596.66","59,900"
"1767779644-213","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jan 30, 2025","595.00","630.00","580.00","585.00","576.94","19,500"
"1767779644-214","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jan 24, 2025","600.00","600.00","595.00","595.00","586.80","14,700"
"1767779644-215","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jan 23, 2025","595.00","605.00","595.00","600.00","591.73","2,200"
"1767779644-216","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jan 22, 2025","615.00","620.00","595.00","595.00","586.80","13,900"
"1767779644-217","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jan 21, 2025","600.00","615.00","595.00","610.00","601.59","13,600"
"1767779644-218","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jan 20, 2025","590.00","615.00","590.00","600.00","591.73","11,100"
"1767779644-219","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jan 17, 2025","585.00","615.00","580.00","600.00","591.73","16,700"
"1767779644-220","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jan 16, 2025","595.00","615.00","580.00","595.00","586.80","20,900"
"1767779644-221","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jan 15, 2025","590.00","615.00","575.00","595.00","586.80","17,700"
"1767779644-222","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jan 14, 2025","615.00","615.00","595.00","595.00","586.80","500"
"1767779644-223","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jan 13, 2025","600.00","620.00","570.00","595.00","586.80","30,800"
"1767779644-224","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jan 10, 2025","610.00","620.00","575.00","620.00","611.46","27,200"
"1767779644-225","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jan 9, 2025","575.00","615.00","575.00","605.00","596.66","15,400"
"1767779644-226","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jan 8, 2025","600.00","615.00","570.00","590.00","581.87","18,600"
"1767779644-227","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jan 7, 2025","605.00","610.00","565.00","600.00","591.73","22,200"
"1767779644-228","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jan 6, 2025","615.00","615.00","600.00","600.00","591.73","3,600"
"1767779644-229","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jan 3, 2025","615.00","615.00","615.00","615.00","606.52","100"
"1767779644-230","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jan 2, 2025","615.00","615.00","580.00","610.00","601.59","15,800"
"1767779644-231","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 30, 2024","605.00","615.00","570.00","615.00","606.52","43,700"
"1767779644-232","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 27, 2024","600.00","600.00","600.00","600.00","591.73","700"
"1767779644-233","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 24, 2024","630.00","630.00","600.00","620.00","611.46","2,800"
"1767779644-234","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 23, 2024","585.00","630.00","580.00","630.00","621.32","49,400"
"1767779644-235","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 20, 2024","575.00","605.00","560.00","600.00","591.73","49,900"
"1767779644-236","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 19, 2024","560.00","585.00","550.00","575.00","567.08","51,500"
"1767779644-237","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 18, 2024","585.00","600.00","555.00","590.00","581.87","16,900"
"1767779644-238","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 17, 2024","595.00","600.00","590.00","600.00","591.73","4,200"
"1767779644-239","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 16, 2024","605.00","605.00","595.00","600.00","591.73","4,200"
"1767779644-240","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 13, 2024","610.00","630.00","600.00","605.00","596.66","15,900"
"1767779644-241","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 12, 2024","610.00","610.00","595.00","600.00","591.73","14,600"
"1767779644-242","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 11, 2024","595.00","625.00","595.00","600.00","591.73","34,800"
"1767779644-243","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 10, 2024","600.00","600.00","595.00","595.00","586.80","13,000"
"1767779644-244","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 9, 2024","600.00","625.00","590.00","600.00","591.73","21,900"
"1767779644-245","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 6, 2024","595.00","635.00","585.00","615.00","606.52","43,400"
"1767779644-246","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 5, 2024","595.00","630.00","595.00","600.00","591.73","18,300"
"1767779644-247","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 4, 2024","595.00","625.00","590.00","600.00","591.73","6,100"
"1767779644-248","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 3, 2024","580.00","625.00","580.00","610.00","601.59","16,000"
"1767779644-249","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 2, 2024","620.00","630.00","590.00","595.00","586.80","32,100"
"1767779644-250","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 29, 2024","600.00","635.00","580.00","620.00","611.46","24,600"
"1767779644-251","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 28, 2024","605.00","620.00","590.00","600.00","591.73","18,200"
